sedol,citicode,full_description,ismininv_monthly,reg_saver,closed_fund,fund_name,aims,description,company_id,company_name,sector_id,sector_name,unit_type,full_description_with_unit_type,initial_charge,annual_charge,vantage_charge,net_annual_charge,initial_saving,annual_saving,holding_fee,loaded,linksedol_code,restrict_ot,payment_frequency,payment_type,Wealth150,trustee,assumed_growth,assumed_growth2,valuation_point,comment,tracker,yieldreduct,yieldreduct2,launch_price,launch_currency,num_holdings,icvc,sicav,plusfund,standard_amc,standard_ocf,total_expenses,charge_source,valuation_frequency,val_info,lsmininv,yield,kiid,kiid_url,running_yield,historic_yield,distribution_yield,underlying_yield,gross_yield,gross_running_yield,loyalty_bonus,reg_saver_min_inv,lump_sum_min_inv,renewal_commission,initial_commission,fund_size,risk_rating,other_expenses,cost_segment,update_time,ref_date,perf3m,perf6m,perf12m,perf36m,perf60m,perf120m,perf0t12m,perf12t24m,perf24t36m,perf36t48m,perf48t60m,perf3m_reinv,perf6m_reinv,perf12m_reinv,perf36m_reinv,perf60m_reinv,perf120m_reinv,perf0t12m_reinv,perf12t24m_reinv,perf24t36m_reinv,perf36t48m_reinv,perf48t60m_reinv,ter,is_unit_trust,is_oeic,isaable,sippable,unwrapable,launchdate,sales_only,bid_price,offer_price,price_change,percent_change,updated,investment_pathway,is_advanced_investment,yahoo_timestamp,yahoo_symbol
B2PB2B6,BFB8,7IM AAP Adventurous (Class C),25.0,1,0,Seven Investment Management AAP Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide capital growth. There is a risk of wide fluctuations in capital values.",AAP Adventurous (Class C),1174,Seven Investment Management,115,Flexible Investment,Income,7IM AAP Adventurous (Class C) (Inc),0.0,0.6,0.0,0.6,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,12:00,,0,0.0,0.0,1.0,GBP,18,0,0,N,0.0,0.6,0.6,N/a,Daily,,100.0,1.1,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=90f9bf95-819b-49df-b2f5-b89a49cb36ca&user=hl_website_documents,0.0,1.1,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,423.6,,0.1,1,2026-09-10 06:01:42,0000-00-00,3.44,11.01,19.35,43.73,38.83,,19.35,10.68,8.81,-0.88,-2.55,,,,,,,,,,,,0.6,0,1,1,1,1,2008-03-28 00:00:00,,241.59,241.59,-1.4,-0.58,2026-09-10,N,N,1789203425,0P0000CRAQ.L
B2PB2C7,BFB9,7IM AAP Adventurous (Class C),25.0,1,0,Seven Investment Management AAP Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide capital growth. There is a risk of wide fluctuations in capital values.",AAP Adventurous (Class C),1174,Seven Investment Management,115,Flexible Investment,Accumulation,7IM AAP Adventurous (Class C) (Acc),0.0,0.6,0.0,0.6,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,12:00,,0,0.0,0.0,1.0,GBP,18,0,0,N,0.0,0.6,0.6,N/a,Daily,,100.0,1.1,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=3b376978-902b-4ea9-bf05-c27904a97598&user=hl_website_documents,0.0,1.1,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,423.6,,0.1,1,2026-09-10 06:01:42,0000-00-00,3.45,11.01,19.35,43.76,38.85,,19.35,10.68,8.83,-0.9,-2.54,,,,,,,,,,,,0.6,0,1,1,1,1,2008-03-28 00:00:00,,306.68,306.68,-1.78,-0.58,2026-09-10,N,N,1789203427,0P0000CRAO.L
B2PB2V6,BFB4,7IM AAP Balanced (Class C),25.0,1,0,Seven Investment Management AAP Balanced (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a balance of income and capital appreciation. There may be some risk to capital.",AAP Balanced (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Income,7IM AAP Balanced (Class C) (Inc),0.0,0.62,0.0,0.62,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,30,0,0,N,0.0,0.62,0.62,N/a,Daily,,100.0,1.7,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=274eefa6-5b95-40b9-ac19-c7ed9ac8aea6&user=hl_website_documents,0.0,1.7,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,653.1,,0.12,2,2026-09-10 06:01:42,0000-00-00,2.12,6.96,12.35,31.48,22.53,,12.35,7.11,9.27,-1.27,-5.61,,,,,,,,,,,,0.62,0,1,1,1,1,2008-03-28 00:00:00,,173.49,173.49,-0.68,-0.39,2026-09-10,N,N,1789203429,0P0000CRAW.L
B2PB379,BFB5,7IM AAP Balanced (Class C),25.0,1,0,Seven Investment Management AAP Balanced (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a balance of income and capital appreciation. There may be some risk to capital.",AAP Balanced (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Accumulation,7IM AAP Balanced (Class C) (Acc),0.0,0.62,0.0,0.62,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,30,0,0,N,0.0,0.62,0.62,N/a,Daily,,100.0,1.7,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=493d38fa-0330-4104-81bc-31543303dce7&user=hl_website_documents,0.0,1.7,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,653.1,,0.12,2,2026-09-10 06:01:42,0000-00-00,2.13,6.97,12.36,31.5,22.54,,12.36,7.1,9.27,-1.28,-5.6,,,,,,,,,,,,0.62,0,1,1,1,1,2008-03-28 00:00:00,,235.02,235.02,-0.92,-0.39,2026-09-10,N,N,1789203431,0P0000CRAU.L
BMXV7D5,AHOMC,7IM AAP Cautious (Class C),25.0,1,0,Seven Investment Management AAP Cautious (Class C),This Fund aims to provide a long-term total return (over at least 5 years) by way of income with some capital growth.,AAP Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Income,7IM AAP Cautious (Class C) (Inc),0.0,0.75,0.0,0.75,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,0,0.0,0.0,12:00,,0,0.0,0.0,0.0,GBP,35,0,0,,0.0,0.75,0.75,N/a,Daily,,100.0,2.2,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=1b5e9a13-6c96-4366-b92f-9fad8d444d0a&user=hl_website_documents,0.0,2.2,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,45.6,,0.25,2,2026-09-10 06:01:38,0000-00-00,0.8,2.9,5.79,16.62,2.98,,5.79,2.94,7.09,-2.57,-9.37,,,,,,,,,,,,0.75,0,1,1,1,1,2024-03-22 00:00:00,N,127.0,127.0,-0.29,-0.23,2026-09-10,N,N,,
BMXV854,AHOMB,7IM AAP Cautious (Class C),25.0,1,0,Seven Investment Management AAP Cautious (Class C),This Fund aims to provide a long-term total return (over at least 5 years) by way of income with some capital growth.,AAP Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Accumulation,7IM AAP Cautious (Class C) (Acc),0.0,0.75,0.0,0.75,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,0,0.0,0.0,12:00,,0,0.0,0.0,0.0,GBP,35,0,0,,0.0,0.75,0.75,N/a,Daily,,100.0,2.2,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=3418d186-dcc3-4b31-90fa-f7b143758228&user=hl_website_documents,0.0,2.2,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,45.6,,0.25,2,2026-09-10 06:01:38,0000-00-00,0.8,2.9,5.79,17.76,3.98,,5.79,2.95,8.12,-2.57,-9.37,,,,,,,,,,,,0.75,0,1,1,1,1,2024-03-22 00:00:00,N,167.45000000000002,167.45000000000002,-0.38,-0.23,2026-09-10,N,N,,
B2PB2K5,BFA6,7IM AAP Moderately Adventurous (Class C),25.0,1,0,Seven Investment Management AAP Moderately Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.",AAP Moderately Adventurous (Class C),1174,Seven Investment Management,107,Mixed Investment 40-85% Shares,Income,7IM AAP Moderately Adventurous (Class C) (Inc),0.0,0.62,0.0,0.62,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,12:00,,0,0.0,0.0,1.0,GBP,24,0,0,N,0.0,0.62,0.62,N/a,Daily,,100.0,1.3,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=e5512a97-0071-438b-ba61-5fa139a32ca0&user=hl_website_documents,0.0,1.3,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,567.1,,0.12,2,2026-09-10 06:01:42,0000-00-00,2.97,9.51,16.35,38.63,32.88,,16.35,9.33,8.99,-0.16,-4.0,,,,,,,,,,,,0.62,0,1,1,1,1,2008-03-28 00:00:00,,221.63,221.63,-1.02,-0.46,2026-09-10,N,N,1789203434,0P0000CRB0.L
B2PB2M7,BFA7,7IM AAP Moderately Adventurous (Class C),25.0,1,0,Seven Investment Management AAP Moderately Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.",AAP Moderately Adventurous (Class C),1174,Seven Investment Management,107,Mixed Investment 40-85% Shares,Accumulation,7IM AAP Moderately Adventurous (Class C) (Acc),0.0,0.62,0.0,0.62,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,12:00,,0,0.0,0.0,1.0,GBP,24,0,0,N,0.0,0.62,0.62,N/a,Daily,,100.0,1.3,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=cc0f56b0-3208-4cff-aa09-9ca230bdefbd&user=hl_website_documents,0.0,1.3,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,567.1,,0.12,2,2026-09-10 06:01:42,0000-00-00,2.99,9.52,16.35,38.64,32.89,,16.35,9.32,8.99,-0.16,-3.99,,,,,,,,,,,,0.62,0,1,1,1,1,2008-03-28 00:00:00,,283.57,283.57,-1.3,-0.46,2026-09-10,N,N,1789203437,0P0000CRAZ.L
B2PB205,BFB0,7IM AAP Moderately Cautious (Class C),25.0,1,0,Seven Investment Management AAP Moderately Cautious (Class C),"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",AAP Moderately Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Income,7IM AAP Moderately Cautious (Class C) (Inc),0.0,0.66,0.0,0.66,0.0,0.0,0.0,0,,0,Quarterly,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,33,0,0,N,0.0,0.66,0.66,N/a,Daily,,100.0,2.3,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=57705044-d373-413e-a120-a4ebda285d21&user=hl_website_documents,0.0,2.3,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,488.6,,0.16,2,2026-09-10 06:01:42,0000-00-00,1.87,5.36,9.45,24.75,11.68,,9.45,4.99,8.56,-2.04,-8.61,,,,,,,,,,,,0.66,0,1,1,1,1,2008-03-28 00:00:00,,131.29,131.29,-0.44,-0.33,2026-09-10,N,N,1789203439,0P0000CRAV.L
B2PB216,BFB1,7IM AAP Moderately Cautious (Class C),25.0,1,0,Seven Investment Management AAP Moderately Cautious (Class C),"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",AAP Moderately Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Accumulation,7IM AAP Moderately Cautious (Class C) (Acc),0.0,0.66,0.0,0.66,0.0,0.0,0.0,0,,0,Quarterly,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,33,0,0,N,0.0,0.66,0.66,N/a,Daily,,100.0,2.3,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=ccb3a9fe-80ff-4fd7-a229-4fdbe5a357c8&user=hl_website_documents,0.0,2.3,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,488.6,,0.16,2,2026-09-10 06:01:42,0000-00-00,1.57,5.05,9.12,24.4,11.37,,9.12,5.0,8.57,-2.04,-8.62,,,,,,,,,,,,0.66,0,1,1,1,1,2008-03-28 00:00:00,,186.03,186.03,-0.62,-0.33,2026-09-10,N,N,1789203442,0P0000CRAT.L
