sedol,citicode,full_description,ismininv_monthly,reg_saver,closed_fund,fund_name,aims,description,company_id,company_name,sector_id,sector_name,unit_type,full_description_with_unit_type,initial_charge,annual_charge,vantage_charge,net_annual_charge,initial_saving,annual_saving,holding_fee,loaded,linksedol_code,restrict_ot,payment_frequency,payment_type,Wealth150,trustee,assumed_growth,assumed_growth2,valuation_point,comment,tracker,yieldreduct,yieldreduct2,launch_price,launch_currency,num_holdings,icvc,sicav,plusfund,standard_amc,standard_ocf,total_expenses,charge_source,valuation_frequency,val_info,lsmininv,yield,kiid,kiid_url,running_yield,historic_yield,distribution_yield,underlying_yield,gross_yield,gross_running_yield,loyalty_bonus,reg_saver_min_inv,lump_sum_min_inv,renewal_commission,initial_commission,fund_size,risk_rating,other_expenses,cost_segment,update_time,ref_date,perf3m,perf6m,perf12m,perf36m,perf60m,perf120m,perf0t12m,perf12t24m,perf24t36m,perf36t48m,perf48t60m,perf3m_reinv,perf6m_reinv,perf12m_reinv,perf36m_reinv,perf60m_reinv,perf120m_reinv,perf0t12m_reinv,perf12t24m_reinv,perf24t36m_reinv,perf36t48m_reinv,perf48t60m_reinv,ter,is_unit_trust,is_oeic,isaable,sippable,unwrapable,launchdate,sales_only,bid_price,offer_price,price_change,percent_change,updated,investment_pathway
B2PB2B6,BFB8,7IM AAP Adventurous (Class C),25.00,1,0,Seven Investment Management AAP Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide capital growth. There is a risk of wide fluctuations in capital values.",AAP Adventurous (Class C),1174,Seven Investment Management,115,Flexible Investment,Income,7IM AAP Adventurous (Class C) (Inc),0.00,0.72000,0.0000,0.72000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,12:00,,0,0.00,0.00,1.00,GBP,20,0,0,N,0.0000,0.72000,0.72,N/a,Daily,,100.00,2.00,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=90f9bf95-819b-49df-b2f5-b89a49cb36ca&user=hl_website_documents,0.00,2.00,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,327.7,,0.220,2,2024-10-26 06:01:57,0000-00-00,2.9300,4.5100,14.7300,8.2600,30.1200,,14.7300,0.6200,-6.2200,19.2500,0.8000,,,,,,,,,,,,0.72,0,1,1,1,1,2008-03-28 00:00:00,,194.1,194.1,-0.17,-0.09,2024-10-25,N
B2PB2C7,BFB9,7IM AAP Adventurous (Class C),25.00,1,0,Seven Investment Management AAP Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide capital growth. There is a risk of wide fluctuations in capital values.",AAP Adventurous (Class C),1174,Seven Investment Management,115,Flexible Investment,Accumulation,7IM AAP Adventurous (Class C) (Acc),0.00,0.72000,0.0000,0.72000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,12:00,,0,0.00,0.00,1.00,GBP,20,0,0,N,0.0000,0.72000,0.72,N/a,Daily,,100.00,2.00,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=3b376978-902b-4ea9-bf05-c27904a97598&user=hl_website_documents,0.00,2.00,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,327.7,,0.220,2,2024-10-26 06:01:57,0000-00-00,2.9400,4.5200,14.7600,8.2700,30.1400,,14.7600,0.6000,-6.2200,19.2500,0.8000,,,,,,,,,,,,0.72,0,1,1,1,1,2008-03-28 00:00:00,,239.14,239.14,-0.20,-0.08,2024-10-25,N
B2PB2V6,BFB4,7IM AAP Balanced (Class C),25.00,1,0,Seven Investment Management AAP Balanced (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a balance of income and capital appreciation. There may be some risk to capital.",AAP Balanced (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Income,7IM AAP Balanced (Class C) (Inc),0.00,0.67000,0.0000,0.67000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,11:00,,0,0.00,0.00,1.00,GBP,35,0,0,N,0.0000,0.67000,0.67,N/a,Daily,,100.00,2.30,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=274eefa6-5b95-40b9-ac19-c7ed9ac8aea6&user=hl_website_documents,0.00,2.30,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,872.9,,0.170,2,2024-10-26 06:01:57,0000-00-00,2.1600,4.0700,12.8900,3.7700,18.1000,,12.8900,0.9500,-8.9500,11.5900,1.9800,,,,,,,,,,,,0.67,0,1,1,1,1,2008-03-28 00:00:00,,152.04,152.04,-0.04,-0.03,2024-10-25,N
B2PB379,BFB5,7IM AAP Balanced (Class C),25.00,1,0,Seven Investment Management AAP Balanced (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a balance of income and capital appreciation. There may be some risk to capital.",AAP Balanced (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Accumulation,7IM AAP Balanced (Class C) (Acc),0.00,0.67000,0.0000,0.67000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,11:00,,0,0.00,0.00,1.00,GBP,35,0,0,N,0.0000,0.67000,0.67,N/a,Daily,,100.00,2.30,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=493d38fa-0330-4104-81bc-31543303dce7&user=hl_website_documents,0.00,2.30,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,872.9,,0.170,2,2024-10-26 06:01:57,0000-00-00,2.1300,4.0800,12.9000,3.7800,18.1100,,12.9000,0.9500,-8.9400,11.6000,1.9800,,,,,,,,,,,,0.67,0,1,1,1,1,2008-03-28 00:00:00,,198.16,198.16,-0.04,-0.02,2024-10-25,N
BMXV7D5,AHOMC,7IM AAP Cautious (Class C),25.00,1,0,Seven Investment Management AAP Cautious (Class C),This Fund aims to provide a long-term total return (over at least 5 years) by way of income with some capital growth.,AAP Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Income,7IM AAP Cautious (Class C) (Inc),0.00,0.72000,0.0000,0.72000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,0,0.00,0.00,12:00,,0,0.00,0.00,0.00,GBP,35,0,0,,0.0000,0.72000,0.72,N/a,Daily,,100.00,1.90,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=1b5e9a13-6c96-4366-b92f-9fad8d444d0a&user=hl_website_documents,0.00,1.90,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,83.6,,0.220,2,2024-10-26 06:01:51,0000-00-00,1.4800,3.7000,8.9300,-4.8400,1.2900,,8.9300,-0.8700,-11.8800,3.3500,2.9900,,,,,,,,,,,,0.72,0,1,1,1,1,2024-03-22 00:00:00,N,121.02,121.02,0.13,0.11,2024-10-25,N
BMXV854,AHOMB,7IM AAP Cautious (Class C),25.00,1,0,Seven Investment Management AAP Cautious (Class C),This Fund aims to provide a long-term total return (over at least 5 years) by way of income with some capital growth.,AAP Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Accumulation,7IM AAP Cautious (Class C) (Acc),0.00,0.72000,0.0000,0.72000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,0,0.00,0.00,12:00,,0,0.00,0.00,0.00,GBP,35,0,0,,0.0000,0.72000,0.72,N/a,Daily,,100.00,1.90,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=3418d186-dcc3-4b31-90fa-f7b143758228&user=hl_website_documents,0.00,1.90,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,83.6,,0.220,2,2024-10-26 06:01:51,0000-00-00,1.5000,3.7100,9.9900,-3.9100,2.2700,,9.9900,-0.8700,-11.8800,3.3500,2.9900,,,,,,,,,,,,0.72,0,1,1,1,1,2024-03-22 00:00:00,N,153.34,153.34,0.17,0.11,2024-10-25,N
B2PB2K5,BFA6,7IM AAP Moderately Adventurous (Class C),25.00,1,0,Seven Investment Management AAP Moderately Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.",AAP Moderately Adventurous (Class C),1174,Seven Investment Management,107,Mixed Investment 40-85% Shares,Income,7IM AAP Moderately Adventurous (Class C) (Inc),0.00,0.68000,0.0000,0.68000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,12:00,,0,0.00,0.00,1.00,GBP,27,0,0,N,0.0000,0.68000,0.68,N/a,Daily,,100.00,2.10,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=e5512a97-0071-438b-ba61-5fa139a32ca0&user=hl_website_documents,0.00,2.10,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,3.000,589.4,,0.180,2,2024-10-26 06:01:57,0000-00-00,2.4100,3.9800,13.3900,7.2400,25.5600,,13.3900,1.8600,-7.1600,16.0900,0.8600,,,,,,,,,,,,0.68,0,1,1,1,1,2008-03-28 00:00:00,,183.99,183.99,-0.08,-0.04,2024-10-25,N
B2PB2M7,BFA7,7IM AAP Moderately Adventurous (Class C),25.00,1,0,Seven Investment Management AAP Moderately Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.",AAP Moderately Adventurous (Class C),1174,Seven Investment Management,107,Mixed Investment 40-85% Shares,Accumulation,7IM AAP Moderately Adventurous (Class C) (Acc),0.00,0.68000,0.0000,0.68000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,12:00,,0,0.00,0.00,1.00,GBP,27,0,0,N,0.0000,0.68000,0.68,N/a,Daily,,100.00,2.10,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=cc0f56b0-3208-4cff-aa09-9ca230bdefbd&user=hl_website_documents,0.00,2.10,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,3.000,589.4,,0.180,2,2024-10-26 06:01:57,0000-00-00,2.4000,3.9800,13.4000,7.2400,25.4900,,13.4000,1.8500,-7.1500,16.0300,0.8500,,,,,,,,,,,,0.68,0,1,1,1,1,2008-03-28 00:00:00,,227.98,227.98,-0.11,-0.05,2024-10-25,N
B2PB205,BFB0,7IM AAP Moderately Cautious (Class C),25.00,1,0,Seven Investment Management AAP Moderately Cautious (Class C),"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",AAP Moderately Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Income,7IM AAP Moderately Cautious (Class C) (Inc),0.00,0.66000,0.0000,0.66000,0.00,0.00000,0.000000,0,,0,Quarterly,Dividend,0,104,7.00,6.00,11:00,,0,0.00,0.00,1.00,GBP,38,0,0,N,0.0000,0.66000,0.66,N/a,Daily,,100.00,2.40,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=57705044-d373-413e-a120-a4ebda285d21&user=hl_website_documents,0.00,2.40,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,3.000,315.6,,0.160,2,2024-10-26 06:01:57,0000-00-00,2.0300,4.0300,11.6700,-1.2600,7.9900,,11.6700,0.3100,-11.8500,6.3800,2.8100,,,,,,,,,,,,0.66,0,1,1,1,1,2008-03-28 00:00:00,,121.31,121.31,0.09,0.07,2024-10-25,N
B2PB216,BFB1,7IM AAP Moderately Cautious (Class C),25.00,1,0,Seven Investment Management AAP Moderately Cautious (Class C),"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",AAP Moderately Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Accumulation,7IM AAP Moderately Cautious (Class C) (Acc),0.00,0.66000,0.0000,0.66000,0.00,0.00000,0.000000,0,,0,Quarterly,Dividend,0,104,7.00,6.00,11:00,,0,0.00,0.00,1.00,GBP,38,0,0,N,0.0000,0.66000,0.66,N/a,Daily,,100.00,2.40,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=ccb3a9fe-80ff-4fd7-a229-4fdbe5a357c8&user=hl_website_documents,0.00,2.40,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,3.000,315.6,,0.160,2,2024-10-26 06:01:57,0000-00-00,2.0200,4.0400,11.6800,-1.2400,8.0100,,11.6800,0.3100,-11.8400,6.3900,2.8100,,,,,,,,,,,,0.66,0,1,1,1,1,2008-03-28 00:00:00,,163.62,163.62,0.13,0.08,2024-10-25,N
